time real imag
2240 0.03575849554894212 0.03575849554894212
2241 -0.07494481806516459 -0.07494481806516459
2242 -0.18472931236108148 -0.18472931236108148
2243 -0.2922490355198009 -0.2922490355198009
2244 -0.3961858016909558 -0.3961858016909558
2245 -0.49526535187844173 -0.49526535187844173
2246 -0.588272976285116 -0.588272976285116
2247 -0.6740684065874814 -0.6740684065874814
2248 -0.7515997955623607 -0.7515997955623607
2249 -0.819916612675432 -0.819916612675432
2250 -0.8781812975330054 -0.8781812975330054
2251 -0.92567952832609 -0.92567952832609
2252 -0.9618289793761158 -0.9618289793761158
2253 -0.9861864604155554 -0.9861864604155554
2254 -0.998453350076062 -0.998453350076062
2255 -0.9984792569698576 -0.9984792569698576
2256 -0.9862638634798642 -0.9862638634798642
2257 -0.9619569296536552 -0.9619569296536552
2258 -0.9258564571535446 -0.9258564571535446
2259 -0.878405035772751 -0.878405035772751
2260 -0.8201844173090421 -0.8201844173090421
2261 -0.7519083833198613 -0.7519083833198613
2262 -0.6744139942000585 -0.6744139942000585
2263 -0.5886513268677819 -0.5886513268677819
2264 -0.49567182687401 -0.49567182687401
2265 -0.3966154177384698 -0.3966154177384698
2266 -0.2926965255503124 -0.2926965255503124
2267 -0.1851891901716852 -0.1851891901716852
2268 -0.07541144557932127 -0.07541144557932127
2269 0.03529083915873756 0.03529083915873756
2270 0.14556046016347338 0.14556046016347338
2271 0.2540455179893578 0.2540455179893578
2272 0.3594159918365018 0.3594159918365018
2273 0.46038004553207906 0.46038004553207906
2274 0.5556998653703231 0.5556998653703231
2275 0.6442068356398408 0.6442068356398408
2276 0.7248158657875888 0.7248158657875888
2277 0.7965386935690206 0.7965386935690206
2278 0.8584960010882692 0.8584960010882692
2279 0.9099281951870388 0.9099281951870388
2280 0.9502047200145451 0.9502047200145451
2281 0.9788317876073765 0.9788317876073765
2282 0.995458431702509 0.995458431702509
2283 0.9998808105643099 0.9998808105643099
2284 0.9920447060728869 0.9920447060728869
2285 0.9720461884352628 0.9720461884352628
2286 0.9401304383699288 0.9401304383699288
2287 0.8966887412048475 0.8966887412048475
2288 0.8422536897409729 0.8422536897409729
2289 0.7774926546940916 0.7774926546940916
2290 0.7031996027666606 0.7031996027666606
2291 0.6202853626601669 0.6202853626601669
2292 0.5297664583656462 0.5297664583656462
2293 0.43275264663577945 0.43275264663577945
2294 0.33043331142871524 0.33043331142871524
2295 0.22406288212656006 0.22406288212656006
